filename,total_pages,max_page_num,mean_vector,max_vector,file_url,hover_text,mean_umap_1,mean_umap_2,max_umap_1,max_umap_2,cluster_mean,cluster_max,cluster_label_mean,cluster_label_max
0000000243,4,4,,,https://pdf.hres.ca/noc_pm/0000000243.PDF,Document: 0000000243<br>Pages: 4<br>Click to open file,1.1158831024426736,3.9125565499298736,-2.47037556293497,4.684172594520396,1,1,Cluster 1,Cluster 1
0000000285,4,4,,,https://pdf.hres.ca/noc_pm/0000000285.PDF,Document: 0000000285<br>Pages: 4<br>Click to open file,1.049770837451867,3.9906791657440825,-2.4218511832047454,4.588787043067759,1,1,Cluster 1,Cluster 1
0000000301,3,3,,,https://pdf.hres.ca/noc_pm/0000000301.PDF,Document: 0000000301<br>Pages: 3<br>Click to open file,0.9746232682723321,4.119419476413028,-2.551278139381503,4.574567282172984,1,1,Cluster 1,Cluster 1
0000000354,21,21,,,https://pdf.hres.ca/noc_pm/0000000354.PDF,Document: 0000000354<br>Pages: 21<br>Click to open file,1.0803079509991922,4.000868698977725,-2.4386315596390715,4.667897188636607,1,1,Cluster 1,Cluster 1
0000000357,4,4,,,https://pdf.hres.ca/noc_pm/0000000357.PDF,Document: 0000000357<br>Pages: 4<br>Click to open file,1.1276058608550348,3.879985711001651,-2.428984667091464,4.6319799065321146,1,1,Cluster 1,Cluster 1
0000000644,9,9,,,https://pdf.hres.ca/noc_pm/0000000644.PDF,Document: 0000000644<br>Pages: 9<br>Click to open file,1.094666873838357,3.9106859177582427,-2.376507784156894,4.689734899970835,1,1,Cluster 1,Cluster 1
0000000722,2,2,,,https://pdf.hres.ca/noc_pm/0000000722.PDF,Document: 0000000722<br>Pages: 2<br>Click to open file,1.012590115692071,4.126196762942569,-2.4757662070084563,4.487715685340708,1,1,Cluster 1,Cluster 1
0000000821,4,4,,,https://pdf.hres.ca/noc_pm/0000000821.PDF,Document: 0000000821<br>Pages: 4<br>Click to open file,1.0278324240702905,4.095949074649112,-2.4902854216385832,4.547868216010874,1,1,Cluster 1,Cluster 1
0000000867,3,3,,,https://pdf.hres.ca/noc_pm/0000000867.PDF,Document: 0000000867<br>Pages: 3<br>Click to open file,1.1198373043793954,3.910484215640323,-2.3461323035050383,4.760950052711314,1,1,Cluster 1,Cluster 1
0000000969,3,3,,,https://pdf.hres.ca/noc_pm/0000000969.PDF,Document: 0000000969<br>Pages: 3<br>Click to open file,1.1599516177434244,3.7949747056000396,-2.3550834906388274,4.750990354987925,1,1,Cluster 1,Cluster 1
0000001034,4,4,,,https://pdf.hres.ca/noc_pm/0000001034.PDF,Document: 0000001034<br>Pages: 4<br>Click to open file,1.0483539158362665,4.108341595553653,-2.5242991698075286,4.526715719672984,1,1,Cluster 1,Cluster 1
0000001050,5,5,,,https://pdf.hres.ca/noc_pm/0000001050.PDF,Document: 0000001050<br>Pages: 5<br>Click to open file,0.9409982615966119,4.240891358279483,-2.4506769430924407,4.33088680503065,1,1,Cluster 1,Cluster 1
0000001260,4,4,,,https://pdf.hres.ca/noc_pm/0000001260.PDF,Document: 0000001260<br>Pages: 4<br>Click to open file,1.1877866292256631,3.828333756350772,-2.349735285072421,4.762490713569468,1,1,Cluster 1,Cluster 1
0000001281,1,1,,,https://pdf.hres.ca/noc_pm/0000001281.PDF,Document: 0000001281<br>Pages: 1<br>Click to open file,-1.2933687513809882,8.624864003085392,-9.11206486347208,7.231982195350474,2,2,Cluster 2,Cluster 2
0000001316,2,2,,,https://pdf.hres.ca/noc_pm/0000001316.PDF,Document: 0000001316<br>Pages: 2<br>Click to open file,0.6794617826003351,5.5176214188568755,-5.933759237556552,5.130238974067515,3,3,Cluster 3,Cluster 3
0000001517,1,1,,,https://pdf.hres.ca/noc_pm/0000001517.PDF,Document: 0000001517<br>Pages: 1<br>Click to open file,-1.833369666908332,9.119688412570255,-8.856993223457431,7.424248659583872,2,2,Cluster 2,Cluster 2
0000001527,2,2,,,https://pdf.hres.ca/noc_pm/0000001527.PDF,Document: 0000001527<br>Pages: 2<br>Click to open file,1.1049184704083719,3.992527386569278,-2.4857735884476653,4.642079317542857,1,1,Cluster 1,Cluster 1
0000001624,1,1,,,https://pdf.hres.ca/noc_pm/0000001624.PDF,Document: 0000001624<br>Pages: 1<br>Click to open file,-1.567836458061286,8.735118290805119,-8.81721737506876,7.5557937264173685,2,2,Cluster 2,Cluster 2
0000001663,1,1,,,https://pdf.hres.ca/noc_pm/0000001663.PDF,Document: 0000001663<br>Pages: 1<br>Click to open file,-1.6329247301560126,9.325032612704533,-8.645259405403232,7.579865419837779,2,2,Cluster 2,Cluster 2
0000001689,1,1,,,https://pdf.hres.ca/noc_pm/0000001689.PDF,Document: 0000001689<br>Pages: 1<br>Click to open file,-1.2205333059769354,9.569006344699162,-8.190046812324619,7.399995768043345,2,2,Cluster 2,Cluster 2
0000001694,1,1,,,https://pdf.hres.ca/noc_pm/0000001694.PDF,Document: 0000001694<br>Pages: 1<br>Click to open file,-1.051929885719367,8.236676594638126,-9.415482069282627,6.9944839119642435,2,2,Cluster 2,Cluster 2
0000001957,1,1,,,https://pdf.hres.ca/noc_pm/0000001957.PDF,Document: 0000001957<br>Pages: 1<br>Click to open file,-1.9310385530930243,9.020842930697697,-8.638009573249912,7.645628893348521,2,2,Cluster 2,Cluster 2
0000002012,1,1,,,https://pdf.hres.ca/noc_pm/0000002012.PDF,Document: 0000002012<br>Pages: 1<br>Click to open file,-1.8936580961685858,8.953259846591251,-8.948949362068271,8.035777056190318,2,2,Cluster 2,Cluster 2
0000002087,1,1,,,https://pdf.hres.ca/noc_pm/0000002087.PDF,Document: 0000002087<br>Pages: 1<br>Click to open file,-1.94066732582862,8.998976132296818,-8.718699003486728,7.621187174293345,2,2,Cluster 2,Cluster 2
0000002092,2,2,,,https://pdf.hres.ca/noc_pm/0000002092.PDF,Document: 0000002092<br>Pages: 2<br>Click to open file,-1.524128372047492,8.70091190042426,-9.243636633186435,7.835457766029185,2,2,Cluster 2,Cluster 2
0000002133,1,1,,,https://pdf.hres.ca/noc_pm/0000002133.PDF,Document: 0000002133<br>Pages: 1<br>Click to open file,-1.0847918337326727,7.99840488138129,-9.595675970344638,7.060832941505259,2,2,Cluster 2,Cluster 2
0000002162,1,1,,,https://pdf.hres.ca/noc_pm/0000002162.PDF,Document: 0000002162<br>Pages: 1<br>Click to open file,-1.53073661980445,9.163875958346622,-8.638369108467197,7.400596582862681,2,2,Cluster 2,Cluster 2
0000002296,1,1,,,https://pdf.hres.ca/noc_pm/0000002296.PDF,Document: 0000002296<br>Pages: 1<br>Click to open file,-1.5836273973923407,8.585946461581486,-9.30497315052042,7.519795381995982,2,2,Cluster 2,Cluster 2
0000002390,2,2,,,https://pdf.hres.ca/noc_pm/0000002390.PDF,Document: 0000002390<br>Pages: 2<br>Click to open file,-1.5167021101456366,8.451844593905705,-9.402396703987216,7.759823763343638,2,2,Cluster 2,Cluster 2
0000002430,1,1,,,https://pdf.hres.ca/noc_pm/0000002430.PDF,Document: 0000002430<br>Pages: 1<br>Click to open file,-1.6283089464646063,9.176644703768986,-8.729160810737705,7.518716776344126,2,2,Cluster 2,Cluster 2
0000002563,1,1,,,https://pdf.hres.ca/noc_pm/0000002563.PDF,Document: 0000002563<br>Pages: 1<br>Click to open file,-1.744556600425788,8.940122029208439,-8.833676840095615,7.930283510658091,2,2,Cluster 2,Cluster 2
0000002679,1,1,,,https://pdf.hres.ca/noc_pm/0000002679.PDF,Document: 0000002679<br>Pages: 1<br>Click to open file,-1.7538680380325995,8.86713447275092,-8.81263973835001,7.904195749732798,2,2,Cluster 2,Cluster 2
0000002690,1,1,,,https://pdf.hres.ca/noc_pm/0000002690.PDF,Document: 0000002690<br>Pages: 1<br>Click to open file,-1.768649274681159,8.607468029879826,-9.166427160530185,7.790916407081431,2,2,Cluster 2,Cluster 2
0000002746,1,1,,,https://pdf.hres.ca/noc_pm/0000002746.PDF,Document: 0000002746<br>Pages: 1<br>Click to open file,-1.9291054552536688,8.82741107644965,-8.920467878608799,7.866487467262095,2,2,Cluster 2,Cluster 2
0000002754,1,1,,,https://pdf.hres.ca/noc_pm/0000002754.PDF,Document: 0000002754<br>Pages: 1<br>Click to open file,-1.7783169096451483,8.823889157199162,-8.92804386737833,7.790904962989634,2,2,Cluster 2,Cluster 2
0000002851,1,1,,,https://pdf.hres.ca/noc_pm/0000002851.PDF,Document: 0000002851<br>Pages: 1<br>Click to open file,-1.3213466948013983,8.850712201022404,-8.817300344734287,7.9851245522230325,2,2,Cluster 2,Cluster 2
0000002918,1,1,,,https://pdf.hres.ca/noc_pm/0000002918.PDF,Document: 0000002918<br>Pages: 1<br>Click to open file,-2.022543842170783,8.670012852572697,-9.143563772468662,7.958544695350474,2,2,Cluster 2,Cluster 2
0000003115,2,2,,,https://pdf.hres.ca/noc_pm/0000003115.PDF,Document: 0000003115<br>Pages: 2<br>Click to open file,0.8052617365378656,4.626364132785098,-2.8363104117203704,4.412524187537974,1,1,Cluster 1,Cluster 1
